"","Wells","Strain","H2O2stockPercent","OD600nm","Dilutions","wells2","t.max.slope"
"1",1,"M1-2star",0,1.86,1,"Wells.1",8.46722222222222
"2",2,"M1-2star",0.25,1.86,1,"Wells.2",8.46722222222222
"3",3,"M1-2star",0.5,1.86,1,"Wells.3",8.93
"4",4,"M1-2star",1,1.86,1,"Wells.4",8.93
"5",5,"M1-2star",2.5,1.86,1,"Wells.5",12.1688888888889
"6",6,"M1-2star",5,1.86,1,"Wells.6",47.8544444444444
"7",7,"M1-2star",10,1.86,1,"Wells.7",2.91777777777778
"8",8,"M1-2star",20,1.86,1,"Wells.8",36.2305555555556
"9",9,"M1-2star",30,1.86,1,"Wells.9",22.3475
"10",10,NA,NA,NA,1,"Wells.10",NA
"11",11,"M2-8star",0,1.773,1,"Wells.11",8.93
"12",12,"M2-8star",0.25,1.773,1,"Wells.12",9.39277777777778
"13",13,"M2-8star",0.5,1.773,1,"Wells.13",8.93
"14",14,"M2-8star",1,1.773,1,"Wells.14",9.85527777777778
"15",15,"M2-8star",2.5,1.773,1,"Wells.15",18.1836111111111
"16",16,"M2-8star",5,1.773,1,"Wells.16",21.8847222222222
"17",17,"M2-8star",10,1.773,1,"Wells.17",9.85527777777778
"18",18,"M2-8star",20,1.773,1,"Wells.18",40.3955555555556
"19",19,"M2-8star",30,1.773,1,"Wells.19",9.39277777777778
"20",20,NA,NA,NA,1,"Wells.20",NA
"21",21,"M32star",0,1.897,1,"Wells.21",8.46722222222222
"22",22,"M32star",0.25,1.897,1,"Wells.22",8.46722222222222
"23",23,"M32star",0.5,1.897,1,"Wells.23",8.46722222222222
"24",24,"M32star",1,1.897,1,"Wells.24",9.39277777777778
"25",25,"M32star",2.5,1.897,1,"Wells.25",12.1688888888889
"26",26,"M32star",5,1.897,1,"Wells.26",18.1836111111111
"27",27,"M32star",10,1.897,1,"Wells.27",9.85527777777778
"28",28,"M32star",20,1.897,1,"Wells.28",44.5605555555556
"29",29,"M32star",30,1.897,1,"Wells.29",9.39277777777778
"30",30,NA,NA,NA,1,"Wells.30",NA
"31",31,"M34star",0,1.773,1,"Wells.31",8.00444444444445
"32",32,"M34star",0.25,1.773,1,"Wells.32",8.00444444444445
"33",33,"M34star",0.5,1.773,1,"Wells.33",8.46722222222222
"34",34,"M34star",1,1.773,1,"Wells.34",8.46722222222222
"35",35,"M34star",2.5,1.773,1,"Wells.35",13.5563888888889
"36",36,"M34star",5,1.773,1,"Wells.36",47.8544444444444
"37",37,"M34star",10,1.773,1,"Wells.37",47.8544444444444
"38",38,"M34star",20,1.773,1,"Wells.38",41.3211111111111
"39",39,"M34star",30,1.773,1,"Wells.39",28.8261111111111
"40",40,NA,NA,NA,1,"Wells.40",NA
"41",41,"M5star",0,1.83,1,"Wells.41",8.46722222222222
"42",42,"M5star",0.25,1.83,1,"Wells.42",7.54166666666667
"43",43,"M5star",0.5,1.83,1,"Wells.43",8.00444444444445
"44",44,"M5star",1,1.83,1,"Wells.44",8.46722222222222
"45",45,"M5star",2.5,1.83,1,"Wells.45",14.0191666666667
"46",46,"M5star",5,1.83,1,"Wells.46",28.3633333333333
"47",47,"M5star",10,1.83,1,"Wells.47",13.0941666666667
"48",48,"M5star",20,1.83,1,"Wells.48",36.6933333333333
"49",49,"M5star",30,1.83,1,"Wells.49",22.3475
"50",50,"",NA,NA,1,"Wells.50",NA
"51",51,"M8star",0,1.809,1,"Wells.51",8.46722222222222
"52",52,"M8star",0.25,1.809,1,"Wells.52",8.46722222222222
"53",53,"M8star",0.5,1.809,1,"Wells.53",8.93
"54",54,"M8star",1,1.809,1,"Wells.54",9.39277777777778
"55",55,"M8star",2.5,1.809,1,"Wells.55",16.7955555555556
"56",56,"M8star",5,1.809,1,"Wells.56",2.91777777777778
"57",57,"M8star",10,1.809,1,"Wells.57",3.37944444444444
"58",58,"M8star",20,1.809,1,"Wells.58",3.84083333333333
"59",59,"M8star",30,1.809,1,"Wells.59",10.3177777777778
"60",60,NA,NA,NA,1,"Wells.60",NA
"61",61,"M13star",0,1.826,1,"Wells.61",9.39277777777778
"62",62,"M13star",0.25,1.826,1,"Wells.62",9.39277777777778
"63",63,"M13star",0.5,1.826,1,"Wells.63",9.39277777777778
"64",64,"M13star",1,1.826,1,"Wells.64",9.39277777777778
"65",65,"M13star",2.5,1.826,1,"Wells.65",14.0191666666667
"66",66,"M13star",5,1.826,1,"Wells.66",47.8544444444444
"67",67,"M13star",10,1.826,1,"Wells.67",2.91777777777778
